Wall time,Step,Value
1702000987.313398,14100,0.21413001418113708
1702001057.468045,14200,0.2472955584526062
1702001128.336138,14300,0.20499786734580994
1702001196.649586,14400,0.3451012074947357
1702001264.367712,14500,0.14840345084667206
1702001331.115129,14600,0.19535920023918152
1702001397.826506,14700,0.2914748191833496
1702001465.745344,14800,0.24321843683719635
1702001533.876643,14900,0.28036192059516907
1702001600.852893,15000,0.29074448347091675
1702001816.912398,15100,0.18293814361095428
1702001884.974077,15200,0.16556912660598755
1702001952.798365,15300,0.16501769423484802
1702002019.99081,15400,0.15796206891536713
1702002088.014742,15500,0.22356578707695007
1702002154.984682,15600,0.31582966446876526
1702002222.889564,15700,0.22111734747886658
1702002289.793036,15800,0.1830940544605255
1702002356.708056,15900,0.2368829846382141
1702002424.484262,16000,0.3514189124107361
